,Tweets
0,@lainnafader @EricaKleine These people studied were not measured using real tests and their IQ before having COVID was not assessed. Instead it was assumed that their abilities were higher pre-covid. That's a big assumption.
1,"I’m really worried about this summer.  A lot of people are completely at the end of their ropes, and the temperature, # of COVID cases, political rhetoric, and the cost of everything will continue to rise… https://t.co/sq9JwXpLBK"
2,@groundofboring Covid is kinda speedrunning what would otherwise had been slow deaths for many of these churches.
3,@POTUS Can’t take credit for jobs when they are back to the regular employment after Covid and her unemployment ran out
4,Red Bull tests positive for Covid-19 (58 seconds) https://t.co/DXJwZcjslj
5,"@TonyMoonbeam FFS, Vice President Harris was much more forthcoming about getting COVID even being asymptomatic BECAUSE SHE'S NEXT IN LINE! HOW CAN THESE PEOPLE NOT GET IT???"
6,@Rosenlaw Good. Vaccines are required in the military. What made them think they can get away with covid.
7,"@LAPDHollywood @UPPolNRI having relationships. Like the one you encourage between your unmarried incel son who has a problem with living with his reckless family in a 3br, almost giving him COVID, and his aunt who is asked to coddle his male ego, you mean? Good relationship?"
8,"@Up4Yes Thank you for wearing masks! When mask mandates are in place many more people wear masks! Even if not every single person wears a mask, when you vastly increase the number of people who do it helps to stop COVID transmission and save lives!"
9,@JohnRaina11 @sciortino_r @NeilSmi45240944 @JustinTrudeau No the vaccine wanes like the covid vaccine so you need to be boosted. I understand the science of vaccines unlike you.
10,"@RobertB24039377 😔 ""living with covid"" sucks.."
11,@Icky_84 The fatigue covid has given me is unreal. I feel so drained all the time. And like I said Al thought he cough is better it’s not entirely gone and I get really dry throat these days too. Long covid is a Beep!
12,"Weekly Trustee Update just e-mailed 
-info on Virtual Education Day Debates, Global Accessibility Awareness Day, Tamil Genocide Education Week, COVID-19, LTPAS, Committee Meeting Agendas, Projects in Ward 8, 
Budget Deficit Recovery Plan... and more… https://t.co/IiaQcBSlsZ"
13,"Call it a miscalculation to help We the People in continuing under tfg's hoax that covid didn't exist. Lost any respect when he didn't counteract tfg's lie but smirked, instead. Leaving that admin might've been more effective. It would've definitely been more courageous. https://t.co/T3rdJ5qraA"
14,#PuertoRico   We don't have mass shootings .Covid in control in puerto Rico we are a rainbow ..is no perfect  but u are save going to a mall  or shopping
15,@harshasherni No Covid???
16,"@alpendamon @BadHombreMarcoB I haven't eaten out nearly as much lately, just got out of habit during covid. But yeah $30-ish always seemed like a splurge, and my Tornado $37.50 Filet was a 2x yearly splurge, once always right before the holidays."
17,"The Venn diagram of people worried about ""the great replacement"" and people who killed a million Americans from COVID is a circle."
18,idk if it's like a covid thing or a Me thing but I feel like this virus has affected me emotionally??? I feel like I'm hitting a new low mental health wise :(
19,@AlanBixter Thanks. Good info. There have been reports that daily Asprin reduces the risk of microclots which are thought to contribute to long COVID. Thoughts?
20,"@eliowa You are right, but COVID is definitely available to many people who are neither rich nor connected.  All my friends here in CA have been able to get it easily, one got COVID while traveling to Chicago, he got it within a couple of hours of rapid testing positive."
21,@Trump2094578522 @NiuhiNui W.H.O. is owned by China and did not get a single decision right during Covid
