,Tweets
0,"""clinical scientists used machine learning (ML) models to explore de-identified electronic health record (EHR) data in the National COVID Cohort Collaborative (N3C), a National Institutes of Health-funded national clinical database..."
1,@SpeakerPelosi @SenSchumer @GOPLeader @LeaderMcConnell @SenatorLeahy @rosadelauro Please ensure Congress provides $5B in emergency funding for food insecurity exacerbated by the war in Ukraine and $5B for global COVID-19 response. These crises can’t wait. We need action now.
2,The City School District of Albany was notified Monday of 38 new confirmed cases of COVID-19 affecting 11 buildings. Learn more: https://t.co/4T71AwbfHn
3,"(Mail Online):#Sniffer #DOGS are better at spotting Covid than actual tests, says study : New results, from a University of Helsinki study, show canines can spot up to 97 per cent of cases and are 99 per cent accurate when .. https://t.co/RqOU7gcQft"
4,All I know is that there’s a high percentage of 2-4 year olds that know how to cheers because they saw their parents drink their way through COVID.
5,Is anyone else alarmed by the fact that COVID cases are increasing daily in our schools and we're about to invite the entire public but especially our elders to come and vote in these schools where super spread is happening? Without masks? @MayorBowser @charlesallen @paulkihn
6,"Join the @NASEM_Health #MedPrepForum May 17-18 for a workshop exploring the nation’s Public Health Emergency (PHE) preparedness enterprise, through the lens of COVID-19 in the U.S. Register now: https://t.co/rfrrrToz46"
7,"Now You Can Calculate Your Chances of COVID Death, Researchers Say

#coronavirus #news #health
https://t.co/bxfrwgNxJB"
8,Got sick again! No COVID thankfully but damn I am stuck in bed 😭
9,Another round of free COVID-19 antigen tests available for residents https://t.co/Wp5VBEO8pS
10,"@MarshaBlackburn This is what an ECONOMIC RECOVERY looks like after Trump FAILED to create an ECONOMIC RECOVERY PLAN

Biden has been cleaning up Trump's mess

If REPUBLICANS were so concerned...
why didn't they make Trump respond to the COVID crisis instead of ignoring his incompetent inaction?"
11,"@alsellers18 @MRCeagle @purplelady4662 @CavanaughXavier @IngrahamAngle BULLSHIT. Look at EVERY SINGLE COVID case/hospitalization/death timeline &amp; u will see 2 HUGE DIPS when we did our initial lockdown &amp; then the 2nd Delta lockdowns.

How do u explain THE 2 DIPS early on b4 we had vaccines??

U guys r FUCKING STUPID 🤣👎🇺🇸 https://t.co/g9NBy2Dgqv"
12,"Regardless of covid, any supplement that aids in protecting the liver from alcohol use, helps with sleep, and increases your body's ability to produce collagen is worth looking at imo.  
https://t.co/VXEdGfOe2A"
13,Hurricane and covid relief moneys should always be sent directly to the counties.  The state will never help Harris County while it has democratic leadership.
14,"@NicoleGun09 @BigBluexlt @GoklipJames I sympathize with everyone who experiences an adverse event (or loses of life) to any drug available.

My issue is the way folks go on as if such casualties only happen with the drugs that make up COVID-19 vaccines and them exaggerating them, and forgetting about people like me. https://t.co/Q96fn52DHT"
15,@awsparling That is awful I am clinically vulnerable and am pretty much still shielding and keeping my son off school. Clinically vulnerable families are facing fines and possible imprisonment for keeping kids off school. Covid is still a huge risk especially for clinically vulnerable people
16,@JakeMontgomery_ Nah I went to a BIG3 game by myself the summer before Covid. It was fun going alone just vibing out and enjoying hoops
17,"""Scientists Use Machine Learning Models to Help Identify Long COVID Patients""

https://t.co/RGNDH6AGSq"
